INFO: float precision operand used.

Device : Tesla T4
maxThreadsPerMultiProcessor : 1024
maxGridSize : (2147483647, 65535, 65535)
maxThreadsPerBlock : 1024
maxThreadsDim : (1024, 1024, 64)
regsPerMultiprocessor : 65536
regsPerBlock : 65536
Cuda driver version: 11040
Cuda rt version: 11030
INFO: Warp Occupancy with block size 64 : 25%
INFO: Estimated max occupancy with block size =  256, min grid size = 40

INFO: grid size = 5120 x 1, block size =  8 x 8
INFO: Creating 10 boundless plane surfaces

INFO: Time (ms) to run simulation: 18.6684
18, 6463670
19, 6463670
21, 6463670
19, 6463670
19, 6463670
20, 6463670
21, 6463670
18, 6463670
20, 10370579
19, 10370579
19, 10370579
18, 10370579
19, 10370579
18, 10370579
20, 10370579
21, 10370579
20, 10370579
21, 10370579
20, 10370579
20, 10370579
18, 10370579
20, 10370579
20, 10370579
19, 10370579
21, 10370579
20, 10370579
20, 10370579
19, 10370579
20, 10370579
19, 10370579
19, 10370579
20, 10370579
20, 10370579
19, 10370579
20, 10370579
19, 10370579
20, 10370579
19, 10370579
20, 10370579
20, 10370579
19, 12267491
20, 12267491
21, 12267491
21, 12267491
20, 12267491
18, 12267491
20, 12267491
18, 12267491
20, 12267491
20, 12267491
19, 12267491
21, 12267491
19, 12267491
18, 12267491
21, 12267491
21, 12267491
19, 12267491
21, 12267491
19, 12267491
19, 12267491
21, 12267491
20, 12267491
20, 12267491
19, 12267491
18, 12267491
19, 12267491
18, 12267491
21, 12267491
19, 12267491
21, 12267491
19, 12267491
20, 12267491
19, 13233309
20, 13233309
20, 13233309
20, 13233309
21, 13233309
19, 13233309
21, 13233309
20, 13233309
20, 13233309
21, 13233309
20, 13233309
20, 13233309
20, 13233309
18, 13233309
18, 13233309
19, 13233309
20, 13233309
20, 13233309
21, 13233309
21, 13233309
20, 13233309
20, 13233309
20, 13233309
19, 13233309
21, 13233309
20, 13233309
21, 13233309
19, 13233309
21, 13233309
19, 13233309
21, 13233309
20, 13233309
20, 13337733
19, 13337733
20, 13337733
19, 13337733
20, 13337733
20, 13337733
20, 13337733
21, 13337733
20, 13337733
19, 13337733
19, 13337733
18, 13337733
20, 13337733
20, 13337733
21, 13337733
20, 13337733
18, 13337733
20, 13337733
19, 13337733
19, 13337733
19, 13337733
21, 13337733
20, 13337733
20, 13337733
21, 13337733
19, 13337733
20, 13337733
20, 13337733
19, 13337733
18, 13337733
21, 13337733
21, 13337733
20, 13438856
19, 13438856
19, 13438856
21, 13438856
18, 13438856
20, 13438856
20, 13438856
20, 13438856
19, 13438856
20, 13438856
21, 13438856
20, 13438856
21, 13438856
20, 13438856
21, 13438856
19, 13438856
20, 13438856
21, 13438856
20, 13438856
19, 13438856
20, 13438856
21, 13438856
20, 13438856
19, 13438856
20, 13438856
19, 13438856
20, 13438856
18, 13438856
20, 13438856
18, 13438856
21, 13438856
20, 13438856
20, 13546583
19, 13546583
21, 13546583
21, 13546583
18, 13546583
20, 13546583
20, 13546583
18, 13546583
20, 13546583
18, 13546583
21, 13546583
19, 13546583
19, 13546583
20, 13546583
21, 13546583
20, 13546583
20, 13546583
21, 13546583
19, 13546583
19, 13546583
20, 13546583
21, 13546583
19, 13546583
19, 13546583
19, 13546583
19, 13546583
19, 13546583
19, 13546583
20, 13546583
20, 13546583
21, 13546583
18, 13546583
18, 13690490
17, 13690490
20, 13690490
19, 13690490
20, 13690490
19, 13690490
19, 13690490
20, 13690490
19, 13690490
19, 13690490
20, 13690490
20, 13690490
18, 13690490
21, 13690490
20, 13690490
20, 13690490
19, 13690490
21, 13690490
19, 13690490
20, 13690490
21, 13690490
20, 13690490
18, 13690490
20, 13690490
19, 13690490
21, 13690490
18, 13690490
19, 13690490
19, 13690490
18, 13690490
20, 13690490
21, 13690490
21, 14029236
20, 14029236
20, 14029236
21, 14029236
19, 14029236
21, 14029236
20, 14029236
18, 14029236
18, 14029236
19, 14029236
20, 14029236
18, 14029236
19, 14029236
20, 14029236
20, 14029236
17, 14029236
19, 14029236
21, 14029236
20, 14029236
18, 14029236
20, 14029236
19, 14029236
19, 14029236
20, 14029236
20, 14029236
19, 14029236
21, 14029236
18, 14029236
20, 14029236
19, 14029236
20, 14029236
20, 14029236
20, 14054302
20, 14054302
