trackIdx, fit_BoundLoc0, fit_BoundLoc1, fit_BoundPhi, fit_BoundTheta, fit_BoundQOverP, fit_BoundTime
0,0.0176722,-0.0471216,-0.000213458,1.57034,-0.204412,-545.169
1,0.0229336,0.0368439,-0.000390286,1.57056,-0.921684,842.424
2,-0.0177223,0.0148712,0.00043206,1.57093,-0.123775,1006.23
3,0.00722226,0.0158385,0.000200508,1.57062,-0.793075,-1078.87
4,-0.0309321,0.0200278,0.000246055,1.57137,-0.294203,1225.52
5,0.00834979,0.0340646,0.000136951,1.57109,-0.350647,2464.69
6,0.00356789,-0.00130819,-6.65125e-05,1.57092,-0.249655,2092.71
7,-0.00698516,-0.0147934,0.000199865,1.5705,-0.152484,57.0447
8,-0.224314,-0.0318977,0.00453113,1.5706,-0.211362,-799.984
9,-0.0111073,-0.0323318,2.77105e-05,1.5704,-0.10303,2013.41
10,0.0119604,0.0290554,-3.60336e-05,1.57081,-0.132611,-930.231
11,0.00232126,0.00865462,-0.00019085,1.57197,-0.63395,-304.909
12,0.00744364,0.019427,3.14666e-05,1.57119,-0.119664,-1209.93
13,-0.0102494,0.0118758,4.1008e-05,1.57102,-0.167125,1535.86
14,-0.011258,0.0104831,0.000253893,1.57134,-0.396847,-2207.64
15,-0.00884527,0.0228418,0.000187492,1.5707,-0.116095,681.995
16,0.00538559,-0.00152734,0.000240109,1.57143,-0.329484,1289.38
17,-0.0275447,0.0286567,5.42172e-05,1.57094,-0.179588,-1450.03
18,-0.0109542,-0.0272906,-0.000300564,1.57016,-0.194669,-125.562
19,-0.0381218,0.0002716,0.000725503,1.57048,-0.192453,392.027
20,0.00895269,-0.00843691,-0.000183007,1.5709,-0.220036,-119.984
21,-0.00162596,-0.00349168,-0.000125411,1.57052,-0.586155,4195.27
22,0.0255827,-0.00400081,-0.000348592,1.57068,-0.169708,-504.28
23,0.0180569,-0.0272672,-2.46298e-05,1.57065,-0.372671,-1407
24,0.0275609,-0.00362244,0.000178243,1.57051,-0.216417,-1825.42
25,0.0064916,-0.0140956,0.000311828,1.57065,-0.104187,650.151
26,0.00468753,0.0414805,0.000120971,1.57075,-0.417537,1131.39
27,-0.363652,0.0215105,0.00809934,1.57077,-0.289484,-2075.31
28,-0.0207097,0.015103,-0.000111629,1.57077,-0.113117,1293.08
29,0.013291,0.0190352,6.65585e-05,1.57103,-0.160466,377.341
30,0.00397731,-0.00971124,0.00023159,1.57065,-0.108615,1846.92
31,-0.0457825,-0.0141834,0.000259689,1.57029,-0.2385,-4247.88
32,0.0165471,0.0145162,-1.25475e-05,1.57114,-0.213859,110.851
33,0.0330894,-0.000476398,-3.55819e-05,1.57077,-0.139063,-650.633
34,-0.0295961,-0.0143409,2.44146e-05,1.57077,-0.124825,328.52
35,-0.0173876,0.0154761,0.000188052,1.57085,-0.147828,1342.94
36,-0.0103271,-0.0221045,0.000161671,1.57061,-0.379844,-306.346
37,-0.017358,-0.0126287,0.000188737,1.57065,-0.172616,-197.098
38,-0.0444221,-0.0229054,0.000644048,1.57052,-0.101967,326.888
39,-0.0104591,-0.00509356,0.000150394,1.57081,-0.122376,24.3954
40,0.0116078,-0.0328806,5.04687e-05,1.57039,-0.161654,413.408
41,0.00499319,-0.00691607,4.49235e-06,1.57101,-0.101344,-222.263
42,-0.0179988,0.04671,0.000411522,1.57098,-0.290366,640.683
43,-0.00181802,-0.0133997,0.000186983,1.57091,-0.165359,821.743
44,0.0442649,-0.00787577,-0.000112713,1.57051,-0.147892,625.754
45,0.0500741,-0.0080773,-0.000359015,1.57094,-0.143319,-158.007
46,0.0235419,0.0190617,0.000102933,1.57097,-0.137731,1848.13
47,0.0307687,0.0380804,-0.00141932,1.57112,-0.743063,-2371.81
48,-0.00702342,-0.0300136,-0.000143337,1.57055,-0.118864,1615.42
49,0.0189816,0.0438555,-0.000557862,1.57146,-0.480013,3398.75
50,-0.0202954,-0.00216625,0.000187812,1.57101,-0.119469,2603.52
51,-0.026119,-0.00258903,0.000188974,1.57057,-0.232332,4034.81
52,0.0068589,0.0329374,7.53431e-05,1.57014,-0.495056,771.766
53,-0.00723719,-0.0305696,-0.000445797,1.57025,-0.351771,-2094.01
54,-0.113217,0.000351287,0.00239348,1.57087,-0.16662,1576.88
55,0.0248374,-0.000524497,0.000122413,1.57056,-0.763395,1162.69
56,0.0561283,0.0267377,-0.0003226,1.57077,-0.219455,-2135.35
57,0.00216642,0.0191315,0.000199602,1.57074,-0.104585,515.515
58,0.025686,0.0120674,-0.000160516,1.57068,-0.391209,314.442
59,-0.0829114,-0.036284,0.00110166,1.57047,-0.168816,-1597.76
60,-0.0143985,-0.0262741,-0.000406751,1.5708,-0.669585,405.481
61,-0.0574008,0.033521,0.000465624,1.57105,-0.126278,-481.901
62,-0.0223001,0.0095857,0.00118353,1.57083,-0.112435,775.28
63,0.0387397,-0.00172492,-0.000149135,1.57097,-0.135582,-2221.16
64,0.0305492,-0.0282219,-9.12088e-05,1.57062,-0.100974,1832.16
65,0.0241906,-0.00260679,-0.000683034,1.57076,-0.309775,329.277
66,0.00684113,0.00714999,-3.63942e-05,1.57054,-0.220999,799.802
67,0.00358644,-0.0419487,2.24671e-05,1.57072,-0.10288,94.7684
68,0.019172,-0.0194628,5.60521e-05,1.57079,-0.546885,-136.351
69,0.0584335,-0.0148174,-0.00118306,1.57121,-0.355068,-2985.28
70,0.00574877,-0.0123257,0.000230367,1.57048,-0.109349,1535.89
71,-0.0387633,0.0097333,0.000425693,1.57073,-0.178457,-535.467
72,0.0135476,-0.0202615,7.66122e-05,1.57103,-0.205118,-811.714
73,0.0093084,-0.0284842,6.20156e-06,1.57049,-0.101477,-1260.4
74,0.0298711,0.0106565,-0.000133681,1.57133,-0.29582,-399.574
75,0.00900464,0.0061793,-0.000469594,1.57027,-0.371843,904.02
76,0.0677319,0.015001,-0.000889323,1.57078,-0.661821,-496.489
77,0.0338741,-0.0228599,-0.000373038,1.57084,-0.135022,458.63
78,-0.0202816,0.0237651,0.000207138,1.57097,-0.150493,1321.65
79,-0.017259,0.0013747,0.000155832,1.57038,-0.577057,-1096.87
80,0.0630451,0.0176828,-0.000578383,1.57092,-0.155205,444.711
81,0.0517555,-0.0159766,8.19854e-05,1.57067,-0.285771,-1743.47
82,-0.0453328,0.00437178,4.98565e-05,1.57072,-0.150256,-410.333
83,4.54446e-05,0.00900521,-1.47532e-05,1.57076,-0.142465,1623.34
84,-0.00753733,-0.0326418,0.000562793,1.57079,-0.314692,-59.0389
85,-0.0179567,0.0120536,0.000400271,1.57094,-0.104075,-511.717
86,0.00255998,0.00944442,2.7155e-06,1.57105,-0.123365,-861.136
87,0.00955419,-0.0157483,0.00109906,1.57018,-0.768132,1470.21
88,0.0182547,-0.0312483,-6.30369e-05,1.5708,-0.150879,851.511
89,0.00468995,0.00881953,-1.90999e-05,1.57072,-0.136186,1892.81
90,-0.0288122,-0.00465944,7.04562e-05,1.5707,-0.349502,-2390.98
91,-0.0198293,0.0126584,0.0001322,1.57081,-0.104201,-498.391
92,-0.010769,0.0515122,3.92889e-05,1.57118,-0.122077,333.373
93,-0.0241375,0.022244,0.000451286,1.57164,-0.589119,1238.55
94,0.0553565,-0.053376,-0.000756349,1.56985,-0.433307,494.202
95,-0.0125876,0.0162403,4.20192e-05,1.57065,-0.149697,-555.61
96,-0.0118698,-0.0534077,0.000592461,1.57045,-0.131506,866.704
97,0.031049,-0.0214981,-0.000249766,1.5712,-0.407311,-1705.81
98,0.00488614,-0.00448661,0.000342999,1.57101,-0.191545,2189.15
99,0.0128905,0.0188475,-0.000288825,1.57102,-0.142004,-173.536
