trackIdx, fit_BoundLoc0, fit_BoundLoc1, fit_BoundPhi, fit_BoundTheta, fit_BoundQOverP, fit_BoundTime
0,-0.0108305,-0.0330627,0.000455055,1.57055,-0.204484,-1972.61
1,-0.0264661,0.00216175,0.000602936,1.57075,-0.9231,787.359
2,0.0122608,0.0052022,-1.31864e-06,1.57059,-0.12369,-162.844
3,-0.0429735,0.0158262,0.00116431,1.57133,-0.793469,-1210.15
4,0.000252759,-0.0194008,0.000316146,1.57001,-0.293945,-405.332
5,0.0116959,-0.00327665,0.000188135,1.5706,-0.349984,600.044
6,-0.0109247,0.0294683,0.00014469,1.57133,-0.249285,-1324.28
7,0.0170495,0.0445516,-0.000120905,1.57144,-0.152295,-3557.55
8,-0.010499,0.0426373,-0.000265963,1.57103,-0.211218,2241.77
9,0.00362921,-0.00941186,-1.31238e-05,1.57098,-0.103036,-26.4897
10,-0.0164867,0.0502022,0.000126131,1.57111,-0.132607,1066.07
11,0.00520695,-0.016898,-0.000299303,1.57079,-0.632497,1844.44
12,0.0284819,-0.0402276,-7.32904e-05,1.57065,-0.119801,1307.49
13,-0.0392852,0.0434485,0.000736964,1.5709,-0.167343,724.291
14,-0.0169985,-0.0197985,-0.000622019,1.57044,-0.397678,-389.89
15,0.00250653,-0.0391335,-0.000299576,1.57088,-0.11596,-2597.78
16,-0.0164501,0.0432125,-0.00073667,1.57134,-0.330218,659.175
17,-0.0225505,-0.00573627,2.30055e-05,1.57064,-0.179259,-2801.55
18,0.00648627,0.00836766,0.000142358,1.57099,-0.194517,2425.19
19,0.00715406,0.0319771,0.000507721,1.5709,-0.192697,687.701
20,-0.050129,0.0531047,0.000553942,1.57094,-0.219829,-869.783
21,0.0398018,-0.00543611,0.000261548,1.57082,-0.586875,3154.25
22,-0.0138053,0.0428647,0.000175527,1.57093,-0.169401,-2038.84
23,0.00295243,-0.00131999,-0.000147291,1.57082,-0.37281,-1183.37
24,0.0173141,-0.0229004,5.5857e-05,1.57076,-0.216565,194.408
25,0.0246197,0.0240068,-0.000282657,1.57086,-0.104095,-1590.38
26,-0.0161339,0.000994772,0.000159447,1.57089,-0.417804,-310.439
27,0.00911303,-0.0324645,-0.000161278,1.57019,-0.289502,-1104.22
28,-0.0100636,-0.0156769,-0.000106619,1.57084,-0.113134,-37.3643
29,-0.0255457,-0.0167011,0.000357666,1.5706,-0.160441,-2228.01
30,0.0123446,-0.0257061,4.34392e-06,1.57077,-0.108776,1234.02
31,0.0480394,0.00114511,-0.000415497,1.57058,-0.23889,-2447.61
32,-0.0077482,0.00216117,-0.000374707,1.57081,-0.213998,-4043.42
33,0.00692667,0.031801,-4.95269e-05,1.57097,-0.139267,-2852.54
34,-0.0441133,-0.0304388,0.00132241,1.57066,-0.124427,2063.46
35,-0.0572704,0.0186072,0.000321254,1.57079,-0.14756,1665.93
36,-0.020659,0.000272609,0.000237979,1.57125,-0.38006,-2452.92
37,-0.0377262,0.022244,0.000222478,1.57074,-0.172689,-2555.3
38,-0.00563496,0.0479787,0.000169207,1.57104,-0.102014,-1723.87
39,0.0126028,0.00189107,-7.47731e-05,1.5707,-0.122649,-25.394
40,0.0392903,0.0176065,-0.000447476,1.57087,-0.161757,-159.888
41,-0.0108004,-0.0372774,0.00017139,1.57068,-0.10131,1153.88
42,0.0254279,0.0133098,-0.00011684,1.57035,-0.289905,1235.02
43,-0.0117037,-0.00503801,-0.000208116,1.57066,-0.165354,529.59
44,-0.00502668,-0.0532002,-0.000170678,1.57068,-0.147892,-1152.59
45,0.00560173,-0.00399876,-0.000238572,1.57084,-0.1434,1722.26
46,-0.0248999,-0.026201,0.000158396,1.57074,-0.137915,-82.7667
47,0.0355906,0.0464434,-0.000110348,1.5718,-0.741955,306.971
48,0.00353822,-0.0369342,6.10176e-05,1.57049,-0.119027,-2441.78
49,0.0182326,-0.0019132,-0.000801139,1.57046,-0.479084,3176.32
50,0.0233441,0.00942163,-0.000270964,1.57076,-0.119338,-1083.92
51,0.0217951,-0.0175251,-0.000386161,1.57082,-0.232508,1226.35
52,-0.070978,-0.0148562,-0.000788841,1.57058,-0.495904,-807.78
53,-0.0290178,-0.00546001,0.00100307,1.57002,-0.351628,202.742
54,-0.0227687,-0.0115205,0.000371588,1.57103,-0.166364,814.804
55,0.0264299,0.0568411,-3.89526e-05,1.5711,-0.764322,227.397
56,-0.0241258,-0.0511969,0.000143488,1.57084,-0.219566,221.503
