trackIdx, fit_BoundLoc0, fit_BoundLoc1, fit_BoundPhi, fit_BoundTheta, fit_BoundQOverP, fit_BoundTime
57,0.0283569,0.00919309,-6.53125e-05,1.57084,-0.104454,1181.15
58,0.00589734,0.0161767,0.00038272,1.57116,-0.392003,570.078
59,-0.019518,0.0105806,0.000132284,1.57099,-0.168507,-1533.5
60,0.00582195,-0.056114,6.29554e-05,1.56922,-0.667924,2441.84
61,-0.0169124,-0.0318266,0.000299095,1.57066,-0.126226,0.125672
62,-0.00503648,0.00730621,-0.000116495,1.57062,-0.112416,-1700.1
63,0.0377275,-0.029884,-9.50703e-05,1.57053,-0.135503,-59.5014
64,-0.0154027,0.0094103,5.95849e-06,1.57092,-0.101118,2019.07
65,0.0224796,-0.0241055,-0.000466113,1.57135,-0.309506,1666.07
66,-0.00377323,-0.00884157,0.000146182,1.57088,-0.221134,-362.048
67,-0.0452359,0.0109999,0.000442144,1.57065,-0.102904,1755.54
68,-0.0826845,-0.0362381,0.000212346,1.57059,-0.548934,715.578
69,0.0226685,-0.00247063,-0.00076739,1.57028,-0.354795,-2171.27
70,-0.0127893,0.0384972,-4.10395e-05,1.57104,-0.109578,-3113.89
71,-0.00973996,0.0196519,0.000321514,1.57119,-0.17864,2736.28
72,0.0313927,0.00952043,-0.00041734,1.57038,-0.205145,1727.59
73,0.0391064,0.01576,-2.9934e-05,1.57094,-0.101411,-851.003
74,-0.0281681,-0.0542965,0.000586345,1.57013,-0.296652,-123.921
75,0.0701746,0.002093,-0.000902539,1.57054,-0.372456,-1610.32
76,-0.00759022,0.020432,0.000224126,1.57058,-0.66167,39.8058
77,-0.0190349,0.0150817,0.000312163,1.57092,-0.134822,1437.41
78,0.000778647,-0.0389652,-0.000254875,1.57037,-0.15032,-1743.48
79,-0.0212472,-0.00678859,0.000697955,1.57122,-0.576613,-1159.46
80,0.012845,0.0295199,0.000372137,1.57104,-0.155186,1689.47
81,0.00104416,-0.00678192,-8.0874e-05,1.57008,-0.285027,-1915.88
82,-0.0179055,0.0473533,4.2828e-06,1.57127,-0.150072,-218.246
83,0.0107616,0.0558803,-0.000528981,1.57117,-0.142444,-2629.12
84,0.00844446,-0.0237943,5.90661e-05,1.57055,-0.314455,-1356.47
85,-0.0155854,0.000667901,2.59879e-05,1.57067,-0.104002,-2063.04
86,0.0188493,0.0155395,-0.000333154,1.57067,-0.123221,225.275
87,-0.0329769,0.0281952,-9.6023e-05,1.57108,-0.767839,1156.21
88,-0.0226258,0.0384029,0.000197051,1.5711,-0.15066,-2470.3
89,-0.0405515,-0.00478532,0.000139849,1.57079,-0.136074,-845.315
90,-0.01836,-0.0272112,0.000437861,1.57132,-0.349223,2183.36
91,-0.0444159,0.00348757,0.00111522,1.57063,-0.104134,2815.26
92,-0.00304862,-0.0101091,0.000327745,1.57059,-0.122007,-1239.3
93,0.00149216,0.0219406,7.05679e-05,1.57079,-0.589814,-799.707
94,-0.775004,0.0844818,0.0263138,1.57335,-0.434385,-619.482
95,-0.00151441,0.0396894,0.000115038,1.57115,-0.14985,-4468.23
96,0.00610102,-0.0236903,6.59515e-05,1.57041,-0.131583,-432.828
97,-0.0326564,-0.00512728,0.000904959,1.57045,-0.407162,1526.28
98,-0.0496448,-0.00804107,0.00054829,1.57009,-0.191071,-1032.16
99,0.0246941,-0.00940409,-1.85942e-05,1.57084,-0.142125,-597.081
100,0.0368423,-0.00661619,5.32456e-05,1.57047,-0.790024,-944.912
101,0.0159611,-0.0149734,0.000330866,1.57086,-0.193404,473.317
102,0.00787677,-0.0348369,-0.000166676,1.57053,-0.183422,-1057.83
103,-0.249945,0.0138221,0.00531259,1.57119,-0.170347,-848.397
104,-0.0474702,-0.00368971,0.000649014,1.57099,-0.109053,-375.032
105,-0.0196125,-0.0309598,7.37925e-05,1.57084,-0.358298,-1136.64
106,-0.0183232,0.00071869,0.000263186,1.57084,-0.179218,-646.814
107,0.00319834,0.00545176,0.000563019,1.5716,-0.530974,1785.77
108,0.00338399,-0.0344702,-8.64118e-05,1.57057,-0.129608,16.728
109,-0.0267073,0.00558614,-0.000175027,1.57064,-0.128034,206.385
110,0.00642359,0.0166788,4.73638e-05,1.57088,-0.437681,798.432
111,-0.00762874,0.0285401,-0.000129372,1.57113,-0.188177,-1922.91
112,0.019967,-0.0265758,-0.000297463,1.57075,-0.246378,-2598.8
113,-0.0193508,0.016817,0.00166129,1.57098,-0.596265,1461.9
114,0.0186073,-0.00979536,-0.000186297,1.57089,-0.26557,-2474.33
115,0.00852466,-0.0234785,0.000310728,1.57002,-0.345421,1050.02
116,0.0102106,-0.0181888,-5.55114e-05,1.57063,-0.108844,-716.634
117,-0.214802,-0.00729092,0.00346663,1.57036,-0.2973,271.307
118,-0.00632549,-0.0285475,-0.000230435,1.57046,-0.131779,-1526.7
119,-0.00555388,-0.0352489,-0.000318958,1.57031,-0.292104,-671.285
120,0.0286504,0.00578623,0.000433374,1.57067,-0.663668,1426.57
121,-0.0408439,-0.0171207,0.000401447,1.56976,-0.495569,1384.69
122,0.0427808,0.00812227,0.000469325,1.57091,-0.986875,-27.5079
123,0.018031,-0.0128874,-0.000156651,1.57076,-0.19983,99.0648
124,0.0523848,-0.000960825,-0.000493188,1.57077,-0.158828,1.10744
125,-0.0401144,-0.0203987,0.00081178,1.57079,-0.673236,-27.832
126,0.00920371,0.0366213,1.1561e-05,1.571,-0.13288,-1114.3
127,0.0314607,-0.0130991,-0.000203347,1.5705,-0.111031,2679.98
128,-0.0140397,0.0121281,4.86223e-05,1.5708,-0.240847,78.228
129,-0.00181589,-0.0148201,-2.08683e-05,1.57102,-0.109562,-649.76
130,-0.0115441,-0.00487974,6.40959e-06,1.57095,-0.103918,797.092
131,0.0184665,0.00651784,-0.000426293,1.57074,-0.162592,-409.27
132,-0.0093762,0.018642,-0.00100731,1.57046,-0.324689,1312.73
133,0.0405062,-0.00374761,-0.00010429,1.57071,-0.106725,-1403.04
134,-0.0166503,0.00475269,0.000290832,1.57176,-0.649801,2486.49
135,-0.00255553,0.0211087,0.000111461,1.5712,-0.318568,1921.46
136,-0.0295896,0.0253535,-4.5204e-05,1.57108,-0.119826,-5569.99
137,-0.00383965,-0.0487787,0.000116705,1.57052,-0.209466,-1352.26
138,0.0314458,-0.0136587,0.000121762,1.57098,-0.267046,458.84
139,-0.0228146,-0.0261335,8.71294e-05,1.57043,-0.103827,-406.479
140,-0.00720091,-0.00318775,0.000216027,1.57078,-0.285028,1170.06
141,-0.0123962,0.0138636,-0.000295269,1.57114,-0.112915,-1140.95
142,-0.00688249,-0.00374152,-0.000114825,1.57062,-0.194918,-690.692
143,-0.0428694,-0.0106661,0.000241795,1.57085,-0.121163,791.643
144,-0.138256,-0.00592575,0.00303185,1.57092,-0.121182,-557.45
145,-0.00225881,-0.0324724,0.000373131,1.57077,-0.248394,1238.43
146,0.0497036,0.00504676,-0.000218549,1.57018,-0.24742,1515.87
147,0.000848616,8.97944e-05,6.11016e-05,1.57063,-0.1543,1235.75
148,0.0187526,-0.0069168,-0.00060985,1.57032,-0.833179,-619.664
149,-0.000732295,-0.00126772,0.000433129,1.5704,-0.571266,-1304.54
150,0.0108059,-0.0119401,-4.29841e-05,1.57085,-0.131469,-440.285
151,0.0441334,0.0202974,-0.000191022,1.57116,-0.142489,-1651.23
152,0.0336774,-0.00584684,-0.000325627,1.57086,-0.111947,385.353
153,0.0119977,-0.0185359,-0.000115733,1.57039,-0.116787,737.404
154,-0.0334568,0.00918965,0.000172289,1.57065,-0.125897,-873.366
155,0.000579951,0.0401163,-7.33521e-05,1.57074,-0.212332,192.412
156,-3.47342e-05,0.0104094,3.62826e-05,1.57068,-0.111475,-1391.5
157,0.032538,0.00509845,-0.000200319,1.57079,-0.100688,-869.711
158,-0.0102057,0.0294043,0.000186576,1.57094,-0.23555,-2061.03
159,-0.0796519,0.0192397,0.00239265,1.57068,-0.219987,961.531
160,0.0705694,-0.00471723,-0.000459653,1.57091,-0.370159,-2006.1
161,-0.0289979,-0.00978573,0.000129077,1.57101,-0.173385,528.067
162,-0.0103347,-0.00200213,0.000200264,1.57077,-0.159146,-1140.63
163,-0.0112147,0.018153,1.83673e-05,1.57101,-0.125825,589.391
164,-0.00551273,-0.0609567,-0.000398501,1.57028,-0.1168,-1726.16
165,-0.00598041,0.0163113,1.71989e-05,1.57082,-0.11195,-1747.55
166,0.0239634,0.01334,-0.000106827,1.57115,-0.233863,1347.5
167,-0.0158568,-0.0188345,-3.06922e-05,1.57058,-0.149589,-1980.39
168,-0.00408554,-0.0307003,-0.00013277,1.57009,-0.133627,128.743
169,0.0264502,0.0158543,-0.000206482,1.57079,-0.103747,-150.027
170,0.0138408,0.0294397,-0.000186561,1.57095,-0.128087,-995.055
171,-0.00735945,-0.0130374,0.000290603,1.57054,-0.484405,1359.47
172,-0.0222286,0.041558,0.000242039,1.5713,-0.119642,-420.516
173,-0.0705544,0.00544694,0.000289367,1.57105,-0.388764,-631.21
174,-0.020331,0.010211,3.61685e-05,1.57076,-0.157805,713.623
175,-0.00658314,0.0288864,-0.000405197,1.57139,-0.597732,-1642.02
176,-0.0271903,-0.00289658,0.000251499,1.57066,-0.147675,2682.33
177,-0.570011,-0.0576921,0.0096231,1.57042,-0.138964,-1304.31
178,-0.0330179,-0.0388835,0.000704502,1.57035,-0.177316,1639.07
179,0.0191354,-0.0363591,8.15578e-05,1.57064,-0.203196,1902.81
180,-0.02351,-0.00668117,0.000108409,1.57091,-0.21643,-1322.94
181,-0.00285869,-0.0333727,-0.000141393,1.57045,-0.148504,-560.378
182,0.0342121,0.0116769,-4.41626e-05,1.57082,-0.265006,-1278.29
183,-0.0169261,0.01525,-0.000220194,1.57131,-0.469834,-2538.08
184,0.0515452,0.0185128,-0.00118871,1.57104,-0.462401,-1375.09
185,0.0516571,0.0233495,-0.00053616,1.5709,-0.111939,-1766.44
186,-0.0148404,-0.0221808,0.000123688,1.57037,-0.379126,2254.4
187,0.0062688,-0.0267139,-0.000472079,1.57077,-0.231662,4820.08
188,0.0260771,-0.0173055,-0.000145582,1.57057,-0.113314,943.098
189,-0.0232488,0.0112509,0.000210013,1.57096,-0.119516,2318.04
190,-0.0203116,0.030531,-7.455e-07,1.57147,-0.422284,619.678
191,-0.0115009,0.0173613,0.000386604,1.57095,-0.101948,-934.045
192,-0.000327573,0.024247,9.98331e-06,1.57069,-0.165903,-765.783
193,-0.00607923,-0.037362,-7.85223e-05,1.57054,-0.106032,1238.46
194,0.00960509,-0.0114325,-0.000208292,1.57046,-0.14937,-2822.93
195,-0.0916941,-0.00738494,0.0016952,1.57023,-0.252824,-1893.64
196,-0.00231343,0.0187602,-0.000319975,1.57069,-0.123021,255.723
197,-0.0561514,0.0202956,0.000309282,1.571,-0.18168,235.128
198,-0.0189383,0.00536977,-4.27242e-05,1.57071,-0.23418,1512.24
199,0.0134696,-0.0123841,-0.000114937,1.57067,-0.302677,-824.614
200,-0.0644475,-0.0142591,0.00133715,1.57073,-0.109828,-311.922
201,0.00786196,0.00417725,-0.000401516,1.57098,-0.120807,-1462.01
202,-0.0212125,0.0188397,4.14822e-05,1.57087,-0.297812,823.786
203,-0.0126924,0.0309711,0.000158833,1.57107,-0.216088,-1076.91
204,-0.00241337,-0.00515179,-0.0002904,1.57132,-0.624489,-116.687
205,-0.00287017,0.0315988,4.97582e-05,1.57079,-0.241218,-1091.89
206,-0.000458663,-0.00227691,-0.000429671,1.57089,-0.769687,-1013.38
207,0.017513,-0.0241395,-0.000304948,1.57057,-0.153242,948.998
208,0.0295473,0.000760172,-0.000349624,1.57051,-0.608473,-539.73
209,-0.0467442,0.00926858,0.00022959,1.57087,-0.277521,-854.171
210,-0.0405472,0.014747,0.000497799,1.5713,-0.333261,250.671
211,-0.0198594,0.00349203,5.94093e-05,1.57064,-0.13736,2074.08
212,0.0489356,0.0179345,-6.28248e-05,1.57121,-0.132192,-735.636
213,-0.0142495,-0.00765987,6.01137e-05,1.57068,-0.616652,491.275
214,-0.022249,0.0058527,6.05194e-05,1.57053,-0.209205,-1608.97
215,0.0363279,-0.0439608,-0.000387276,1.57036,-0.144259,-552.704
216,0.000261236,0.00648989,-4.84288e-08,1.57071,-0.373391,397.407
217,-0.0375176,0.0191557,0.000391423,1.57102,-0.117467,-2854.69
218,0.0109556,0.00849421,0.000277648,1.57095,-0.130004,-1226.31
219,0.00244243,-0.00817545,0.000190602,1.57072,-0.101925,-1304.23
220,0.0168287,0.0159564,0.000507516,1.57194,-0.316653,2025.42
221,-0.00115126,0.0297007,0.000285951,1.57087,-0.122115,747.886
222,-0.0706387,0.0438292,0.000633394,1.57109,-0.223969,-1127.01
223,0.00179563,-0.00654818,4.61284e-06,1.57062,-0.471136,-2048.66
224,-0.00265941,-0.00852471,0.000268417,1.57071,-0.158974,1841.41
225,0.0242672,0.00271028,-0.000472967,1.57083,-0.261289,1080.01
226,0.0133676,0.00565665,0.000341682,1.5711,-0.169071,-288.811
227,0.0645634,0.029281,-0.000254741,1.5712,-0.213751,-1868.85
228,0.0220724,0.0185761,-1.89175e-07,1.57104,-0.144329,1490.33
229,-0.0373687,-0.0199228,-0.000230442,1.57062,-0.456151,2946.58
230,-0.0329857,-0.0250993,0.000498963,1.57059,-0.665703,-266.156
231,0.0374345,0.0183471,-0.000391485,1.57107,-0.760581,-386.69
232,0.0396638,0.0236006,0.000469638,1.57052,-0.757148,-997.742
233,-0.0131487,0.00761062,0.000291847,1.57094,-0.176578,1630.48
234,0.0121929,0.0103002,-0.000289898,1.57059,-0.112124,2239.26
235,0.00488256,-0.00910002,-5.1917e-05,1.57062,-0.145548,-2166.62
236,-0.026026,0.00823905,0.000455432,1.57099,-0.146053,-1045.47
237,0.0545541,-0.00308959,-0.00020397,1.57073,-0.217202,-1571.66
238,-0.0295763,-0.0671579,0.00050572,1.56923,-0.300161,1160.11
239,-0.0128521,0.0465311,-0.000686049,1.57101,-0.958379,-36.618
240,-0.0665426,-0.0120115,0.000391929,1.57068,-0.183309,-50.1991
241,-0.0180132,-0.0094762,-6.60117e-05,1.57059,-0.144551,-1198.84
242,-0.0429242,0.0128124,0.000117723,1.57068,-0.208259,1403.89
243,0.00706426,-0.0586697,-4.69792e-05,1.5705,-0.190376,291.172
244,-0.0820825,0.023396,0.000712288,1.57021,-0.346756,-1179.89
245,-0.0281292,-0.0248537,-0.000491843,1.57112,-0.185031,1786.49
246,0.0172234,0.0176271,-0.000404228,1.57133,-0.236549,1866.04
247,0.0155294,-0.0385889,-5.98935e-05,1.57057,-0.166916,1885.39
248,-0.00929765,-0.0185158,4.71005e-05,1.57038,-0.172754,2068.84
249,-0.0188355,-0.00556201,0.000151049,1.57089,-0.571477,984.062
250,-0.00187593,-0.0188697,9.46935e-05,1.57081,-0.143821,1519.32
251,0.00552924,0.0486013,1.49691e-05,1.5712,-0.209146,-1123.11
252,-0.107252,0.00655704,0.00189855,1.57085,-0.174438,1555.52
253,0.0333422,-0.0117924,0.000514558,1.57054,-0.615157,-23.0067
254,-0.112877,0.00909643,0.00242532,1.57113,-0.157234,330.727
255,-5.2661e-05,0.0243566,-0.000286493,1.5708,-0.112364,-5799.72
256,-0.0148302,0.0429042,0.000801078,1.57109,-0.359704,445.864
257,0.0255029,0.0307562,0.000361389,1.57089,-0.139178,977.541
258,0.0212252,0.0338394,-0.000148281,1.57107,-0.330423,-743.871
259,-0.0144116,0.0211763,0.00018463,1.57071,-0.523327,373.972
260,-0.0621531,-0.00486232,0.000578481,1.57092,-0.27542,-3121.64
261,0.0141544,0.00773201,7.85573e-05,1.57104,-0.105081,-3253.73
262,-0.000768611,-0.0298373,-0.000219293,1.57047,-0.228689,-300.223
263,0.0133888,0.0331307,-5.64435e-05,1.57123,-0.260293,1744.29
264,-0.00414096,0.00436947,0.000436083,1.57068,-0.131216,106.906
265,0.0073101,0.0217837,3.56417e-06,1.5713,-0.13289,-153.317
266,0.0393381,0.0267867,-0.000358046,1.57105,-0.101036,1480.12
267,0.048092,0.0422268,-0.000572007,1.57111,-0.266881,-573.89
268,0.0276875,0.0073996,1.6352e-05,1.57078,-0.108998,1689.37
269,0.00879735,0.0155245,-0.000133938,1.57092,-0.155209,242.902
270,-0.049023,-0.0302975,0.000343589,1.57074,-0.101804,-2887.91
271,0.0131197,0.0245622,-6.49018e-05,1.57107,-0.155997,429.844
272,-0.0657193,0.01764,0.0018475,1.57092,-0.135951,-1377.99
273,-0.0199486,0.00293019,8.17874e-05,1.57052,-0.181091,-1114.06
274,0.0119572,0.0215458,-9.65917e-05,1.5709,-0.102811,1037.44
275,0.0153943,0.0270183,-9.56846e-05,1.57154,-0.284135,-785.816
276,0.0279421,-0.0249223,8.55332e-05,1.57117,-0.942983,-657.895
277,-0.0286361,-0.0144526,-0.000148157,1.5706,-0.16239,-706.418
278,-0.0174025,-0.00172237,0.000897251,1.57034,-0.864633,801.86
279,-0.0252684,-0.00230241,0.000337774,1.57078,-0.175779,1324.22
280,-0.00290983,0.00157143,-0.000118094,1.57078,-0.106042,-1311.41
281,-0.0140238,-0.0089309,-0.000273869,1.57021,-0.843426,-1181.05
282,0.00407306,0.0353129,5.12246e-05,1.57099,-0.107063,-474.521
283,-0.0144481,-0.00393212,-3.17665e-05,1.57082,-0.16632,-509.48
284,0.0188123,-0.0102423,1.74309e-05,1.57082,-0.137957,-3753.82
285,-0.0212138,0.0238203,0.000115615,1.57083,-0.112966,-161.373
286,0.0062653,0.0188208,-0.000321891,1.57099,-0.199377,4160.66
287,0.0211773,-0.0280503,-0.000239185,1.57092,-0.105139,-1401.12
288,-0.0042776,-0.0265975,-0.000248685,1.57037,-0.189677,907.708
289,0.00426555,0.0208939,-5.29829e-06,1.57096,-0.104077,445.969
290,-0.0355504,-0.0111946,0.000132928,1.5708,-0.110007,304.576
291,-0.0225504,-0.0429806,1.98876e-05,1.57043,-0.626219,1574.76
292,-0.0135844,0.0108357,0.000549895,1.57039,-0.339266,-68.8072
293,-0.0251448,-0.00863816,-8.72826e-05,1.57021,-0.250442,1387.26
294,-0.0040583,0.047296,-2.23159e-05,1.57129,-0.360902,-371.659
295,0.0231276,-0.0413723,-6.03949e-05,1.56985,-0.64003,-1290.8
296,0.00226367,0.00807356,-3.51258e-05,1.57103,-0.12226,451.124
297,-0.0216336,-0.0320346,0.000437256,1.57027,-0.216223,327.219
298,-0.0387038,-0.0168879,0.000280267,1.5709,-0.203779,-1526.41
299,0.014171,0.00122262,-0.000147871,1.57068,-0.208292,-83.2858
300,-0.162034,0.0285762,0.00248214,1.57101,-0.373829,-353.602
301,0.0138386,-0.0266361,0.000105358,1.57076,-0.100267,-137.463
302,-0.00313312,-0.0292708,0.00018255,1.57063,-0.165843,1108.31
303,-0.0123148,-0.015607,0.000299111,1.57062,-0.313306,272.691
304,-0.0181127,0.00285417,-0.000287719,1.57099,-0.233546,1150.99
305,-0.0984089,-0.0175204,0.00202925,1.57057,-0.139098,802.917
306,-0.0757015,0.0288119,0.00113661,1.57091,-0.110078,1352.04
307,0.0434578,-0.0131174,-0.000796095,1.57037,-0.199934,1352.91
308,-0.0411506,0.00882113,0.00038566,1.57084,-0.143327,2621.77
309,0.0114931,-0.0238173,6.7486e-06,1.57075,-0.107905,1428.17
310,0.0104112,-0.000622317,-0.000565345,1.57081,-0.210734,-3322.35
311,0.0150881,-0.00190555,-0.00048957,1.57109,-0.620337,1680.48
312,0.00364022,-0.00688607,7.79296e-06,1.57068,-0.1208,-1868.36
313,-0.0223109,-0.0125481,0.000305084,1.57025,-0.13913,-316.473
314,-0.0123152,-0.0486541,0.000244183,1.57091,-0.112427,-516.422
315,-0.00507144,0.0299589,0.000474737,1.57065,-0.180886,-677.81
316,-0.00937678,0.0213851,0.000182768,1.57096,-0.136346,-1237.6
317,0.0182019,0.0322878,-0.000460768,1.5713,-0.269614,-3812.76
318,-0.0014714,0.0202652,5.12192e-06,1.57079,-0.137513,-1790.97
319,0.017524,0.0401586,-0.00118826,1.57213,-0.873573,17.6236
320,0.0168093,-0.0510151,3.15686e-05,1.57033,-0.281335,442.576
321,-0.010031,-0.00263204,-7.0781e-05,1.57061,-0.199395,681.779
322,-0.0303462,-0.0440769,0.000867749,1.57037,-0.27477,2194.63
323,-0.041529,0.0402639,1.27332e-05,1.57105,-0.221817,1714.48
324,0.00877362,0.0304161,-0.000285943,1.57087,-0.12408,1982.02
325,0.0210756,-0.0113939,0.000144762,1.57039,-0.364115,-1271.61
326,0.0109196,0.00522415,-0.000525506,1.57055,-0.326776,480.866
327,-0.0631066,-0.0459982,0.00118005,1.57042,-0.115568,-1575.35
328,-0.0204178,-0.0246349,-0.000330374,1.57057,-0.287973,-837.367
329,-0.040847,-0.00257146,0.000271765,1.57092,-0.163331,-1457.38
330,-0.0520302,-0.0120877,0.00106356,1.57058,-0.262675,1171.04
331,0.0297312,-0.00598798,-0.000397863,1.57093,-0.373032,779.674
332,0.024381,-0.0365828,-0.000189368,1.57037,-0.18873,-1188.84
333,0.00433465,-0.000184851,-2.08751e-05,1.5707,-0.217414,-147.32
334,0.0493874,-0.0114952,-0.00128687,1.5713,-0.937513,143.808
335,-0.0434951,-0.00600152,0.000338589,1.57055,-0.197122,618.027
336,0.0019927,0.0331422,2.76433e-05,1.57091,-0.204377,2233.03
337,-0.0108136,0.0269507,0.000340864,1.57144,-0.578653,1306.91
338,0.00234667,-0.0116342,-1.40397e-06,1.57038,-0.157829,771.436
339,0.0218222,-0.00292574,-0.000169253,1.5708,-0.116565,2606
340,-0.00280187,-0.00903764,4.69529e-05,1.57049,-0.139779,1452.39
341,-0.00837984,-0.0245556,-0.000153467,1.57007,-0.368746,-268.144
342,0.030959,-0.0270983,-0.000387513,1.57081,-0.13885,783.59
343,-0.0384647,-0.019266,0.000113839,1.57064,-0.171909,-3498.3
344,0.0069457,-0.0425328,-0.000286171,1.57074,-0.164005,4377.78
345,-0.0289953,0.0177762,0.000300599,1.5711,-0.114334,-291.96
346,-0.0265468,0.0180319,0.00038804,1.57091,-0.143291,-1867.99
347,0.00230917,-0.050309,0.000199876,1.57058,-0.147291,1455.15
348,0.038707,0.0336643,-0.000763495,1.57088,-0.254849,-581.028
349,0.00278081,-0.00124206,0.000211004,1.57131,-0.409398,-2562.79
350,-0.0189504,-0.0112881,9.95697e-06,1.57043,-0.439915,-2171.76
351,0.0110862,-0.00994866,-6.43195e-05,1.57094,-0.154859,245.354
352,0.0162693,-0.00459781,-6.40254e-05,1.57105,-0.142763,864.531
353,-0.0150312,-0.042165,-4.13017e-05,1.57085,-0.40927,1635.13
354,-0.00306345,0.0232988,0.000352845,1.57172,-0.801438,-263.939
355,-0.0130132,-0.00211687,-2.5583e-05,1.5707,-0.172617,1685.81
356,-0.0251269,-0.00292819,-0.000347135,1.57115,-0.395651,46.8535
357,0.017636,0.0548698,-0.000340116,1.57094,-0.150223,1040.69
358,-0.100991,0.0142445,0.00253647,1.57093,-0.140646,1095.55
359,0.00144806,-0.0243294,-9.25303e-05,1.57003,-0.629788,679.578
360,-0.0133891,-0.019618,-3.46224e-05,1.57069,-0.351838,1096.3
361,-0.0165446,-0.0350401,0.000190753,1.57072,-0.165963,400.986
362,-0.0135029,-0.00934721,0.000430858,1.57095,-0.174716,584.021
363,0.0226256,-0.046594,-0.000127502,1.57033,-0.649683,-1665.85
