INFO: float precision operand used.

Device : Tesla T4
maxThreadsPerMultiProcessor : 1024
maxGridSize : (2147483647, 65535, 65535)
maxThreadsPerBlock : 1024
maxThreadsDim : (1024, 1024, 64)
regsPerMultiprocessor : 65536
regsPerBlock : 65536
Cuda driver version: 11040
Cuda rt version: 11030
INFO: Warp Occupancy with block size 64 : 25%
INFO: Estimated max occupancy with block size =  256, min grid size = 40

INFO: grid size = 5120 x 1, block size =  8 x 8
INFO: Creating 10 boundless plane surfaces

INFO: Time (ms) to run simulation: 19.37
18, 6569651
19, 6569651
21, 6569651
19, 6569651
19, 6569651
20, 6569651
21, 6569651
18, 6569651
20, 11411454
19, 11411454
19, 11411454
18, 11411454
19, 11411454
18, 11411454
20, 11411454
21, 11411454
20, 11411454
21, 11411454
20, 11411454
20, 11411454
18, 11411454
20, 11411454
20, 11411454
19, 11411454
21, 11411454
20, 11411454
20, 11411454
19, 11411454
20, 11411454
19, 11411454
19, 11411454
20, 11411454
20, 11411454
19, 11411454
20, 11411454
19, 11411454
20, 11411454
19, 11411454
20, 11411454
20, 11411454
17, 11925206
19, 11925206
20, 11925206
19, 11925206
20, 11925206
21, 11925206
21, 11925206
21, 11925206
20, 11925206
19, 11925206
18, 11925206
20, 11925206
20, 11925206
18, 11925206
19, 11925206
21, 11925206
20, 11925206
19, 11925206
21, 11925206
20, 11925206
19, 11925206
20, 11925206
19, 11925206
20, 11925206
18, 11925206
20, 11925206
21, 11925206
20, 11925206
20, 11925206
19, 11925206
19, 11925206
20, 11925206
20, 12484974
19, 12484974
20, 12484974
19, 12484974
20, 12484974
20, 12484974
20, 12484974
21, 12484974
20, 12484974
19, 12484974
19, 12484974
18, 12484974
20, 12484974
20, 12484974
21, 12484974
20, 12484974
18, 12484974
20, 12484974
19, 12484974
19, 12484974
19, 12484974
21, 12484974
20, 12484974
20, 12484974
21, 12484974
19, 12484974
20, 12484974
20, 12484974
19, 12484974
18, 12484974
21, 12484974
21, 12484974
19, 12528340
20, 12528340
21, 12528340
21, 12528340
20, 12528340
18, 12528340
20, 12528340
18, 12528340
20, 12528340
20, 12528340
19, 12528340
21, 12528340
19, 12528340
18, 12528340
21, 12528340
21, 12528340
19, 12528340
21, 12528340
19, 12528340
19, 12528340
21, 12528340
20, 12528340
20, 12528340
19, 12528340
18, 12528340
19, 12528340
18, 12528340
21, 12528340
19, 12528340
21, 12528340
19, 12528340
20, 12528340
19, 12583928
20, 12583928
20, 12583928
20, 12583928
21, 12583928
19, 12583928
21, 12583928
20, 12583928
20, 12583928
21, 12583928
20, 12583928
20, 12583928
20, 12583928
18, 12583928
18, 12583928
19, 12583928
20, 12583928
20, 12583928
21, 12583928
21, 12583928
20, 12583928
20, 12583928
20, 12583928
19, 12583928
21, 12583928
20, 12583928
21, 12583928
19, 12583928
21, 12583928
19, 12583928
21, 12583928
20, 12583928
20, 12883057
21, 12883057
19, 12883057
20, 12883057
20, 12883057
20, 12883057
20, 12883057
20, 12883057
19, 12883057
21, 12883057
20, 12883057
19, 12883057
20, 12883057
19, 12883057
19, 12883057
18, 12883057
20, 12883057
21, 12883057
19, 12883057
19, 12883057
20, 12883057
19, 12883057
19, 12883057
20, 12883057
20, 12883057
19, 12883057
20, 12883057
20, 12883057
21, 12883057
18, 12883057
20, 12883057
20, 12883057
21, 12939595
21, 12939595
18, 12939595
20, 12939595
18, 12939595
20, 12939595
18, 12939595
21, 12939595
18, 12939595
19, 12939595
21, 12939595
20, 12939595
21, 12939595
20, 12939595
20, 12939595
21, 12939595
18, 12939595
20, 12939595
20, 12939595
19, 12939595
20, 12939595
20, 12939595
20, 12939595
19, 12939595
18, 12939595
21, 12939595
21, 12939595
20, 12939595
20, 12939595
19, 12939595
19, 12939595
20, 12939595
18, 13247310
17, 13247310
20, 13247310
19, 13247310
20, 13247310
19, 13247310
19, 13247310
20, 13247310
19, 13247310
19, 13247310
20, 13247310
20, 13247310
18, 13247310
21, 13247310
20, 13247310
20, 13247310
19, 13247310
21, 13247310
19, 13247310
20, 13247310
21, 13247310
20, 13247310
18, 13247310
20, 13247310
19, 13247310
21, 13247310
18, 13247310
19, 13247310
19, 13247310
18, 13247310
20, 13247310
21, 13247310
20, 13573235
19, 13573235
