33.9133,
36.9369,
35.5583,
34.1302,
34.7192,
34.4072,
34.2965,
34.137,
33.7396,
35.441,
34.3483,
36.5892,
34.7084,
32.7659,
4311.49,
3898.16,
8.63615,
2912.28,
