INFO: float precision operand used.

Device : Tesla T4
maxThreadsPerMultiProcessor : 1024
maxGridSize : (2147483647, 65535, 65535)
maxThreadsPerBlock : 1024
maxThreadsDim : (1024, 1024, 64)
regsPerMultiprocessor : 65536
regsPerBlock : 65536
Cuda driver version: 11040
Cuda rt version: 11030
INFO: Warp Occupancy with block size 64 : 25%
INFO: Estimated max occupancy with block size =  256, min grid size = 40

INFO: grid size = 5120 x 1, block size =  8 x 8
INFO: Creating 10 boundless plane surfaces

INFO: Time (ms) to run simulation: 24.8372
20, 14394316
21, 14394316
19, 14394316
20, 14394316
20, 14394316
20, 14394316
20, 14394316
20, 14394316
19, 14394316
21, 14394316
20, 14394316
19, 14394316
20, 14394316
19, 14394316
19, 14394316
18, 14394316
20, 14394316
21, 14394316
19, 14394316
19, 14394316
20, 14394316
19, 14394316
19, 14394316
20, 14394316
20, 14394316
19, 14394316
20, 14394316
20, 14394316
21, 14394316
18, 14394316
20, 14394316
20, 14394316
21, 14627070
20, 14627070
20, 14627070
21, 14627070
19, 14627070
21, 14627070
20, 14627070
18, 14627070
18, 14627070
19, 14627070
20, 14627070
18, 14627070
19, 14627070
20, 14627070
20, 14627070
17, 14627070
19, 14627070
21, 14627070
20, 14627070
18, 14627070
20, 14627070
19, 14627070
19, 14627070
20, 14627070
20, 14627070
19, 14627070
21, 14627070
18, 14627070
20, 14627070
19, 14627070
20, 14627070
20, 14627070
20, 14682387
19, 14682387
21, 14682387
21, 14682387
18, 14682387
20, 14682387
20, 14682387
18, 14682387
20, 14682387
18, 14682387
21, 14682387
19, 14682387
19, 14682387
20, 14682387
21, 14682387
20, 14682387
20, 14682387
21, 14682387
19, 14682387
19, 14682387
20, 14682387
21, 14682387
19, 14682387
19, 14682387
19, 14682387
19, 14682387
19, 14682387
19, 14682387
20, 14682387
20, 14682387
21, 14682387
18, 14682387
20, 14792010
20, 14792010
18, 14792010
20, 14792010
20, 14792010
19, 14792010
21, 14792010
20, 14792010
17, 14792010
19, 14792010
19, 14792010
18, 14792010
20, 14792010
18, 14792010
20, 14792010
19, 14792010
20, 14792010
20, 14792010
21, 14792010
20, 14792010
21, 14792010
21, 14792010
19, 14792010
19, 14792010
17, 14792010
18, 14792010
19, 14792010
20, 14792010
19, 14792010
19, 14792010
19, 14792010
21, 14792010
19, 14975926
19, 14975926
19, 14975926
20, 14975926
21, 14975926
20, 14975926
19, 14975926
18, 14975926
20, 14975926
20, 14975926
20, 14975926
20, 14975926
19, 14975926
18, 14975926
18, 14975926
20, 14975926
19, 14975926
20, 14975926
19, 14975926
20, 14975926
21, 14975926
21, 14975926
19, 14975926
20, 14975926
20, 14975926
18, 14975926
19, 14975926
20, 14975926
21, 14975926
19, 14975926
19, 14975926
19, 14975926
20, 14994463
18, 14994463
21, 14994463
19, 14994463
18, 14994463
20, 14994463
19, 14994463
20, 14994463
21, 14994463
20, 14994463
21, 14994463
20, 14994463
20, 14994463
21, 14994463
21, 14994463
21, 14994463
21, 14994463
19, 14994463
21, 14994463
21, 14994463
20, 14994463
19, 14994463
20, 14994463
20, 14994463
21, 14994463
20, 14994463
19, 14994463
19, 14994463
21, 14994463
20, 14994463
20, 14994463
20, 14994463
21, 15136756
18, 15136756
20, 15136756
20, 15136756
20, 15136756
18, 15136756
20, 15136756
19, 15136756
20, 15136756
17, 15136756
17, 15136756
21, 15136756
20, 15136756
21, 15136756
19, 15136756
21, 15136756
19, 15136756
21, 15136756
19, 15136756
20, 15136756
20, 15136756
20, 15136756
20, 15136756
21, 15136756
21, 15136756
18, 15136756
21, 15136756
19, 15136756
19, 15136756
20, 15136756
21, 15136756
17, 15136756
20, 15220465
21, 15220465
21, 15220465
18, 15220465
20, 15220465
20, 15220465
20, 15220465
20, 15220465
19, 15220465
21, 15220465
20, 15220465
21, 15220465
19, 15220465
18, 15220465
20, 15220465
19, 15220465
20, 15220465
21, 15220465
20, 15220465
20, 15220465
19, 15220465
20, 15220465
18, 15220465
20, 15220465
20, 15220465
21, 15220465
20, 15220465
20, 15220465
18, 15220465
21, 15220465
20, 15220465
19, 15220465
21, 15252319
19, 15252319
21, 15252319
19, 15252319
21, 15252319
21, 15252319
19, 15252319
18, 15252319
19, 15252319
20, 15252319
21, 15252319
20, 15252319
20, 15252319
21, 15252319
19, 15252319
18, 15252319
18, 15252319
20, 15252319
19, 15252319
19, 15252319
20, 15252319
18, 15252319
20, 15252319
20, 15252319
18, 15252319
20, 15252319
20, 15252319
20, 15252319
19, 15252319
19, 15252319
19, 15252319
20, 15252319
17, 15485800
18, 15485800
18, 15485800
19, 15485800
20, 15485800
18, 15485800
17, 15485800
17, 15485800
19, 15485800
19, 15485800
19, 15485800
21, 15485800
20, 15485800
19, 15485800
20, 15485800
21, 15485800
18, 15485800
17, 15485800
19, 15485800
21, 15485800
20, 15485800
18, 15485800
20, 15485800
20, 15485800
17, 15485800
19, 15485800
19, 15485800
19, 15485800
20, 15485800
19, 15485800
20, 15485800
19, 15485800
20, 15662279
19, 15662279
17, 15662279
18, 15662279
20, 15662279
21, 15662279
19, 15662279
20, 15662279
20, 15662279
20, 15662279
19, 15662279
21, 15662279
19, 15662279
21, 15662279
19, 15662279
19, 15662279
21, 15662279
20, 15662279
20, 15662279
19, 15662279
19, 15662279
21, 15662279
19, 15662279
20, 15662279
19, 15662279
19, 15662279
21, 15662279
19, 15662279
20, 15662279
21, 15662279
20, 15662279
19, 15662279
21, 15825341
19, 15825341
20, 15825341
21, 15825341
21, 15825341
19, 15825341
20, 15825341
18, 15825341
19, 15825341
19, 15825341
17, 15825341
21, 15825341
19, 15825341
19, 15825341
19, 15825341
20, 15825341
21, 15825341
19, 15825341
20, 15825341
20, 15825341
21, 15825341
19, 15825341
21, 15825341
20, 15825341
18, 15825341
20, 15825341
18, 15825341
18, 15825341
19, 15825341
18, 15825341
18, 15825341
19, 15825341
20, 16093102
19, 16093102
18, 16093102
21, 16093102
21, 16093102
21, 16093102
20, 16093102
20, 16093102
17, 16093102
20, 16093102
21, 16093102
20, 16093102
20, 16093102
19, 16093102
18, 16093102
19, 16093102
20, 16093102
20, 16093102
20, 16093102
19, 16093102
18, 16093102
20, 16093102
19, 16093102
20, 16093102
20, 16093102
20, 16093102
18, 16093102
20, 16093102
18, 16093102
19, 16093102
20, 16093102
21, 16093102
20, 16097152
19, 16097152
19, 16097152
20, 16097152
21, 16097152
20, 16097152
20, 16097152
19, 16097152
18, 16097152
20, 16097152
18, 16097152
18, 16097152
21, 16097152
20, 16097152
17, 16097152
20, 16097152
18, 16097152
20, 16097152
21, 16097152
19, 16097152
21, 16097152
20, 16097152
20, 16097152
20, 16097152
20, 16097152
20, 16097152
21, 16097152
19, 16097152
21, 16097152
20, 16097152
21, 16097152
20, 16097152
20, 16096953
20, 16096953
19, 16096953
20, 16096953
19, 16096953
21, 16096953
17, 16096953
17, 16096953
20, 16096953
20, 16096953
20, 16096953
19, 16096953
20, 16096953
19, 16096953
19, 16096953
17, 16096953
19, 16096953
20, 16096953
20, 16096953
21, 16096953
19, 16096953
19, 16096953
18, 16096953
20, 16096953
19, 16096953
21, 16096953
21, 16096953
19, 16096953
20, 16096953
21, 16096953
21, 16096953
21, 16096953
21, 16101075
21, 16101075
20, 16101075
20, 16101075
20, 16101075
21, 16101075
20, 16101075
20, 16101075
20, 16101075
21, 16101075
20, 16101075
20, 16101075
20, 16101075
21, 16101075
20, 16101075
20, 16101075
19, 16101075
21, 16101075
20, 16101075
21, 16101075
17, 16101075
21, 16101075
20, 16101075
20, 16101075
19, 16101075
20, 16101075
20, 16101075
21, 16101075
20, 16101075
21, 16101075
17, 16101075
18, 16101075
19, 16100789
20, 16100789
20, 16100789
21, 16100789
21, 16100789
18, 16100789
20, 16100789
20, 16100789
21, 16100789
18, 16100789
21, 16100789
19, 16100789
20, 16100789
20, 16100789
19, 16100789
20, 16100789
19, 16100789
17, 16100789
20, 16100789
20, 16100789
19, 16100789
20, 16100789
20, 16100789
19, 16100789
20, 16100789
20, 16100789
20, 16100789
20, 16100789
20, 16100789
20, 16100789
21, 16100789
20, 16100789
19, 16331939
21, 16331939
21, 16331939
20, 16331939
21, 16331939
19, 16331939
20, 16331939
21, 16331939
21, 16331939
20, 16331939
20, 16331939
20, 16331939
19, 16331939
18, 16331939
19, 16331939
19, 16331939
18, 16331939
17, 16331939
19, 16331939
20, 16331939
20, 16331939
19, 16331939
18, 16331939
21, 16331939
19, 16331939
20, 16331939
21, 16331939
20, 16331939
19, 16331939
21, 16331939
20, 16331939
21, 16331939
20, 16496645
21, 16496645
19, 16496645
21, 16496645
20, 16496645
20, 16496645
19, 16496645
20, 16496645
20, 16496645
20, 16496645
20, 16496645
21, 16496645
18, 16496645
20, 16496645
21, 16496645
19, 16496645
21, 16496645
19, 16496645
19, 16496645
19, 16496645
20, 16496645
21, 16496645
19, 16496645
20, 16496645
20, 16496645
18, 16496645
20, 16496645
20, 16496645
19, 16496645
20, 16496645
17, 16496645
21, 16496645
18, 16540139
21, 16540139
20, 16540139
20, 16540139
20, 16540139
20, 16540139
20, 16540139
19, 16540139
19, 16540139
19, 16540139
20, 16540139
19, 16540139
20, 16540139
20, 16540139
19, 16540139
19, 16540139
21, 16540139
19, 16540139
21, 16540139
18, 16540139
17, 16540139
19, 16540139
20, 16540139
20, 16540139
20, 16540139
20, 16540139
20, 16540139
20, 16540139
20, 16540139
21, 16540139
21, 16540139
19, 16540139
INFO: Time (ms) for KF track fitting on device 0 : 34.676937
INFO: Total Wall clock time (ms) for KF track fitting: 34.708424
------------------------  ending  -----------------------
