INFO: float precision operand used.

Device : Tesla T4
maxThreadsPerMultiProcessor : 1024
maxGridSize : (2147483647, 65535, 65535)
maxThreadsPerBlock : 1024
maxThreadsDim : (1024, 1024, 64)
regsPerMultiprocessor : 65536
regsPerBlock : 65536
Cuda driver version: 11040
Cuda rt version: 11030
INFO: Warp Occupancy with block size 64 : 25%
INFO: Estimated max occupancy with block size =  256, min grid size = 40

INFO: grid size = 5120 x 1, block size =  8 x 8
INFO: Creating 10 boundless plane surfaces

INFO: Time (ms) to run simulation: 24.8778
18, 6666941
19, 6666941
21, 6666941
19, 6666941
19, 6666941
20, 6666941
21, 6666941
18, 6666941
20, 11365387
19, 11365387
19, 11365387
18, 11365387
19, 11365387
18, 11365387
20, 11365387
21, 11365387
20, 11365387
21, 11365387
20, 11365387
20, 11365387
18, 11365387
20, 11365387
20, 11365387
19, 11365387
21, 11365387
20, 11365387
20, 11365387
19, 11365387
20, 11365387
19, 11365387
19, 11365387
20, 11365387
20, 11365387
19, 11365387
20, 11365387
19, 11365387
20, 11365387
19, 11365387
20, 11365387
20, 11365387
20, 13020832
19, 13020832
20, 13020832
19, 13020832
20, 13020832
20, 13020832
20, 13020832
21, 13020832
20, 13020832
19, 13020832
19, 13020832
18, 13020832
20, 13020832
20, 13020832
21, 13020832
20, 13020832
18, 13020832
20, 13020832
19, 13020832
19, 13020832
19, 13020832
21, 13020832
20, 13020832
20, 13020832
21, 13020832
19, 13020832
20, 13020832
20, 13020832
19, 13020832
18, 13020832
21, 13020832
21, 13020832
20, 13566449
21, 13566449
19, 13566449
20, 13566449
20, 13566449
20, 13566449
20, 13566449
20, 13566449
19, 13566449
21, 13566449
20, 13566449
19, 13566449
20, 13566449
19, 13566449
19, 13566449
18, 13566449
20, 13566449
21, 13566449
19, 13566449
19, 13566449
20, 13566449
19, 13566449
19, 13566449
20, 13566449
20, 13566449
19, 13566449
20, 13566449
20, 13566449
21, 13566449
18, 13566449
20, 13566449
20, 13566449
20, 13630648
19, 13630648
19, 13630648
21, 13630648
18, 13630648
20, 13630648
20, 13630648
20, 13630648
19, 13630648
20, 13630648
21, 13630648
20, 13630648
21, 13630648
20, 13630648
21, 13630648
19, 13630648
20, 13630648
21, 13630648
20, 13630648
19, 13630648
20, 13630648
21, 13630648
20, 13630648
19, 13630648
20, 13630648
19, 13630648
20, 13630648
18, 13630648
20, 13630648
18, 13630648
21, 13630648
20, 13630648
19, 13655304
20, 13655304
21, 13655304
21, 13655304
20, 13655304
18, 13655304
20, 13655304
18, 13655304
20, 13655304
20, 13655304
19, 13655304
21, 13655304
19, 13655304
18, 13655304
21, 13655304
21, 13655304
19, 13655304
21, 13655304
19, 13655304
19, 13655304
21, 13655304
20, 13655304
20, 13655304
19, 13655304
18, 13655304
19, 13655304
18, 13655304
21, 13655304
19, 13655304
21, 13655304
19, 13655304
20, 13655304
19, 13697243
20, 13697243
20, 13697243
20, 13697243
21, 13697243
19, 13697243
21, 13697243
20, 13697243
20, 13697243
21, 13697243
20, 13697243
20, 13697243
20, 13697243
18, 13697243
18, 13697243
19, 13697243
20, 13697243
20, 13697243
21, 13697243
21, 13697243
20, 13697243
20, 13697243
20, 13697243
19, 13697243
21, 13697243
20, 13697243
21, 13697243
19, 13697243
21, 13697243
19, 13697243
21, 13697243
20, 13697243
20, 13750096
20, 13750096
19, 13750096
20, 13750096
19, 13750096
21, 13750096
21, 13750096
19, 13750096
20, 13750096
20, 13750096
18, 13750096
20, 13750096
19, 13750096
21, 13750096
21, 13750096
21, 13750096
21, 13750096
19, 13750096
20, 13750096
20, 13750096
20, 13750096
20, 13750096
20, 13750096
19, 13750096
19, 13750096
21, 13750096
20, 13750096
20, 13750096
21, 13750096
20, 13750096
20, 13750096
19, 13750096
21, 14009572
21, 14009572
18, 14009572
20, 14009572
18, 14009572
20, 14009572
18, 14009572
21, 14009572
18, 14009572
19, 14009572
21, 14009572
20, 14009572
21, 14009572
20, 14009572
20, 14009572
21, 14009572
18, 14009572
20, 14009572
20, 14009572
19, 14009572
20, 14009572
20, 14009572
20, 14009572
19, 14009572
18, 14009572
21, 14009572
21, 14009572
20, 14009572
20, 14009572
19, 14009572
19, 14009572
20, 14009572
21, 14133747
20, 14133747
